"content_type","title","slug","parent_category","url_path","summary","metadata","body_markdown"
"overview","Toku Trust Center","trust-center","","/security-center","Toku processes sensitive employee data, compensation records, and digital asset transactions across 100+ countries. This Trust Center covers how we protect that data at every layer: infrastructure, network, application, endpoint, and operational process.","","Toku processes sensitive employee data, compensation records, and digital asset transactions across 100+ countries. This Trust Center covers how we protect that data at every layer: infrastructure, network, application, endpoint, and operational process."
"category","Security Overview","security-overview","","/security-center/security-overview","A high-level introduction to Toku security principles, layered controls, and security operating model.","","Introduction to Toku Security

Toku builds security into the way sensitive employee data, compensation records, integrations, and digital asset workflows are designed, operated, and monitored. This overview explains the security model that anchors the rest of the Trust Center."
"article","Introduction to Toku Security","introduction-to-toku-security","Security Overview","/security-center/security-overview/introduction-to-toku-security","A high-level introduction to Toku security principles, layered controls, and security operating model.","Classification: External / Client-Facing | Contact: security@toku.com","## Security by Design

Toku processes sensitive employee, compensation, payroll, and digital asset data. Security is therefore treated as an architectural requirement, not an after-the-fact checklist. Controls are designed into infrastructure, application development, access management, data handling, monitoring, incident response, and compliance operations.

The Trust Center is organized around the controls that protect customer data and production systems: infrastructure and application security, data protection, access governance, resilience, compliance, and ongoing security investments.

## Layered Security Model

Toku uses a layered security model so that no single control is responsible for protecting the platform. Network isolation, encryption, identity controls, endpoint requirements, secure development practices, monitoring, and audit evidence work together to reduce risk and improve detection and response.

- Infrastructure controls restrict how production systems are reached and separate production from non-production environments.

- Application controls require peer review, vulnerability scanning, security-focused review for sensitive changes, and controlled release practices.

- Data controls encrypt sensitive records at rest and in transit, govern retention, and keep production data out of non-production environments.

- Identity controls enforce centralized authentication, MFA, least privilege, access reviews, and immediate offboarding.

- Operational controls provide alerting, incident response, business continuity planning, disaster recovery testing, and audit evidence.

## Separation of Duties

Toku designs sensitive workflows so that control is separated across systems and roles. Toku does not hold customer funds, private keys, or unilateral signing authority. Payment-related workflows require client approval through systems outside Toku infrastructure, while Toku maintains the records needed for reconciliation and auditability.

Internal access follows least privilege. Employees receive only the access needed for their role, privileged access is reviewed, and production data access is logged.

## Security Operations

Security operations combine continuous monitoring, endpoint and infrastructure controls, vulnerability management, access reviews, penetration testing, and compliance evidence collection. Security findings are assigned ownership, tracked to remediation, and reviewed as part of the operating program.

Toku maintains documented incident response, business continuity, and disaster recovery processes. These processes are tested through tabletop exercises, structured walkthroughs, and recovery validation.

## Trust Center Topic Areas

The rest of the Trust Center provides detail across these areas:

- Platform Security: infrastructure, endpoint, application, and secure development controls.

- Data Security: encryption, data handling, integration security boundaries, and non-custody controls.

- Access & Identity: authentication, MFA, RBAC, access reviews, personnel controls, and vendor review.

- Resilience & Compliance: incident response, business continuity, disaster recovery, SOC 2, privacy, and audit evidence.

- Security Investments: recent and ongoing hardening work across endpoint security, access, monitoring, credential management, and assessments.

## Commitment to Security

Toku maintains a dedicated security operating program for protecting customer data and production systems. The program includes policy governance, employee training, background checks, endpoint compliance, vulnerability management, third-party assessments, penetration testing, incident response, and compliance monitoring.

Security documentation, audit evidence, and relevant reports are available to clients and prospective clients upon request, subject to NDA where appropriate."
"category","Platform Security","platform-security","","/security-center/platform-security","Infrastructure, network, endpoint, and secure development controls protecting Toku production systems.","","Infrastructure & Network Security

Toku's production environment runs in SOC 2 Type II certified US cloud regions. All inbound traffic passes through a web application firewall for DDoS mitigation, bot detection, and request filtering. Internal access to production requires zero-trust network access, and production, staging, and development environments are fully network-isolated.

Endpoint Security

Every Toku employee device is required to meet endpoint detection, device management, patch compliance, VPN, and monitoring requirements before accessing production systems. Endpoint compliance is actively enforced.

Application Security & Secure Development

All code changes require mandatory peer review before reaching production. Continuous dependency scanning, independent security reviews, quarterly penetration testing, compliance evidence collection, and PII-excluded monitoring validate the security posture."
"article","Infrastructure & Network Security","infrastructure-and-network-security","Platform Security","/security-center/platform-security/infrastructure-and-network-security","Infrastructure, network, endpoint, and secure development controls protecting Toku production systems.","Classification: External / Client-Facing | Contact: security@toku.com","## Hosting Environment

Toku production infrastructure runs in United States cloud data center regions with independent SOC 2 certification coverage.

Each customer's data is logically isolated at the database level. This provides per-client data isolation, defined security boundaries, simplified audit trails, and separate access controls per customer.

## Network Architecture

Production, staging, and development environments are segmented through network isolation. Direct database access from external networks is blocked.

All internal infrastructure access routes through zero-trust network access. Only authenticated, authorized devices can reach production resources, and VPN traffic is encrypted end-to-end.

## Web Application Firewall & DDoS Protection

A web application firewall is deployed on all application-layer traffic entering Toku's infrastructure. The WAF provides:

- DDoS mitigation at the network and application layers

- Bot detection and automated blocking

- Rate limiting on all endpoints

- Request filtering for known attack patterns (SQLi, XSS, CSRF)

- HSTS enforcement on all public endpoints

All traffic to Toku's platform routes through the WAF before reaching application servers.

## Network Segmentation

Toku enforces strict segmentation between environments:

- Production is isolated from staging and development.

- Staging mirrors production security controls but uses masked/scrubbed data.

- Development environments have production-equivalent security configurations but no connectivity to production databases.

- PII is scrubbed before any data is used in non-production environments.

## Infrastructure Monitoring

Toku uses multiple monitoring layers to detect anomalies, performance issues, and security events:

- Infrastructure monitoring for performance tracking and alerting.

- Real-time application error tracking and exception monitoring.

- PII-excluded analytics and anomaly detection.

- Database logging with enhanced audit trails for all data access and modifications.

- Automated alerting on integration API failures or anomalous behavior.

- Continuous compliance monitoring to verify that infrastructure security controls operate effectively.

All monitoring systems feed into centralized alerting with an on-call escalation policy ensuring continuous coverage.

## Database Security

All databases use AES-256 encryption at rest, managed through the cloud provider's key management service. Direct database access from external networks is blocked at the network level. All database queries involving sensitive data are logged.

Each client's data is logically isolated at the database level. One client's queries cannot reach another client's records.

## Key Infrastructure Controls Summary

| Control | Implementation |
| --- | --- |
| Cloud Provider | US cloud regions with SOC 2 certification coverage |
| WAF / DDoS | Web application firewall on all ingress traffic |
| VPN | Zero-trust VPN access |
| Network Segmentation | Full isolation between prod, staging, dev |
| Database Isolation | Logical tenant isolation per client |
| Monitoring | Infrastructure monitoring, application error monitoring, database audit logs |
| External DB Access | Blocked at network level |"
"article","Endpoint Security","endpoint-security","Platform Security","/security-center/platform-security/endpoint-security","Infrastructure, network, endpoint, and secure development controls protecting Toku production systems.","Classification: External / Client-Facing | Contact: security@toku.com","## Endpoint Detection and Response (EDR)

Endpoint detection and response is required on all Toku employee endpoints. Endpoint monitoring covers malware, ransomware, fileless attacks, and anomalous behavior on devices with access to Toku systems.

Endpoint protection was strengthened as part of the 2026 security hardening program. All employees must keep endpoint protection installed and active.

## Device Management

Company-managed devices are subject to configuration enforcement, OS patch compliance, software inventory, and security policy application. Devices must meet Toku baseline security requirements before accessing production systems.

## VPN and Zero-Trust Network Access

All internal access to Toku production infrastructure routes through zero-trust network access. Only authenticated and authorized devices can reach production resources, and VPN traffic is encrypted end-to-end.

Zero-trust network access was strengthened as part of Toku 2026 infrastructure hardening, adding network-level access control on top of endpoint and application-level protections.

## Endpoint Monitoring

Toku maintains additional endpoint monitoring on devices with access to critical systems. This supports security monitoring, investigation readiness, and evidence collection.

## Mandatory Security Software

Every Toku employee device must meet the following security requirements:

- Endpoint detection and response installed and active.

- Zero-trust VPN access enabled for production infrastructure.

- Device management, patch compliance, disk encryption, and screen lock enforcement active.

Compliance with these requirements is monitored and enforced. Failure to maintain required security controls is treated as a performance issue.

## Security Readiness

Toku maintains investigation readiness on employee endpoints with access to critical infrastructure. Evidence collection procedures are validated and maintained as part of Toku's security hardening program."
"article","Application Security & Secure Development","application-security-and-secure-development","Platform Security","/security-center/platform-security/application-security-and-secure-development","Infrastructure, network, endpoint, and secure development controls protecting Toku production systems.","Classification: External / Client-Facing | Contact: security@toku.com","## Secure Development Lifecycle

Toku follows a secure development lifecycle that integrates security checks into every phase of delivery, from design through deployment.

All code changes require peer review before merging to production. Security-focused reviews are required for changes touching authentication, authorization, payment flows, API integrations, or data handling.

## Third-Party Security Audits and Penetration Testing

Toku engages third-party firms for independent security audits and penetration testing on a quarterly basis. Findings are tracked to resolution with code changes reviewed and merged. Penetration testing reports are available to clients under NDA.

## Vulnerability Management

Toku maintains a multi-layered vulnerability management program:

- Automated dependency scanning runs continuously against the codebase, monitoring for known CVEs across the application stack.

- Vulnerability scan results are triaged by severity, with critical and high-severity issues addressed on an expedited timeline.

- Automated static analysis runs on all code changes to catch common vulnerability patterns before production.

- Findings are tracked in a centralized tracker with assigned ownership and resolution timelines.

## Change Management

Toku's change management process ensures that all modifications to production systems are reviewed, approved, and auditable:

1. Change request submitted with description and risk assessment.

1. Technical and security review by engineering peers.

1. Leadership approval for significant changes.

1. Automated deployment through CI/CD pipeline.

1. Post-deployment validation and monitoring.

For emergency changes, an expedited process is available with retroactive review required within 24 hours and executive approval requirements.

## Code Security Controls

Before any code reaches production, the following controls are enforced:

- Mandatory peer review for all code changes.

- Security-focused review for sensitive changes (auth, payments, data handling).

- Automated static analysis to detect vulnerabilities.

- Continuous dependency scanning for vulnerable libraries.

- All automated tests must pass before code can be merged.

- No secrets, credentials, or API keys are permitted in source code.

## Secret Management

All application secrets, API credentials, and integration tokens are stored in encrypted secret management infrastructure. Secrets are never committed to source code, logged in application output, or included in error messages. Access to secrets is restricted by role and logged.

## Security Event Logging

Toku captures security-relevant events across the application layer:

- Authentication events: logins, password changes, MFA events, account lockouts

- Authorization changes: permission changes, role assignments, privilege escalation

- Administrative actions: user account changes, configuration updates, policy changes

- Data access: sensitive data queries, file downloads, API calls

- Network activity: source IPs, geolocation, VPN connections

- System changes: software installations, configuration modifications, patches

Logs are retained per Toku's data retention policy.

## Compliance Automation

Toku uses a compliance automation platform for continuous monitoring of security controls, employee compliance status, and SOC 2 evidence collection. The platform verifies that controls are operating as expected, including hard drive encryption, screen lock policies, and endpoint protection status. All employees complete annual compliance recertification.

## Security Monitoring and Analytics

Application analytics and monitoring are configured to exclude PII from tracking. Monitoring covers application errors, infrastructure health, performance alerting, and anomalous behavior without storing personally identifiable information in analytics events.

## Log Integrity Protection

Toku implements protections against log tampering:

- Role-based access limiting log access to the security team only.

- All log access is itself logged and monitored.

- Log retention policies enforced across all systems."
"category","Data Security","data-security","","/security-center/data-security","Encryption, integration security, data minimization, and custody-specific safeguards for sensitive payroll and digital asset workflows.","","Data Protection & Encryption

All data at rest is encrypted with AES-256. All data in transit is encrypted with TLS 1.3 (minimum TLS 1.2). Encryption keys are managed through the cloud provider's key management service with automatic rotation. Toku collects data required for payroll processing and employment administration.

API & Integration Security

Toku secures external system connections with OAuth 2.0, least-privilege scoping, encrypted credential storage, and client-controlled provisioning and revocation. Custody-related API access is additionally restricted to known Toku infrastructure addresses where applicable.

Cryptocurrency & Custody Security

Toku operates on a strict non-custody model. Client approval and execution remain outside Toku's infrastructure, and Toku never holds private keys, funds, or signing authority. This separation of duties is enforced at the infrastructure level."
"article","Data Protection & Encryption","data-protection-and-encryption","Data Security","/security-center/data-security/data-protection-and-encryption","Encryption, integration security, data minimization, and custody-specific safeguards for sensitive payroll and digital asset workflows.","Classification: External / Client-Facing | Contact: security@toku.com","## Encryption Standards

### Encryption in Transit

All data transmitted to and from Toku's platform is encrypted using TLS 1.3. This covers browser sessions on the admin dashboard, API-to-API integrations with HRIS, payroll, and custody platforms, internal service-to-service communication, and webhook/callback payloads.

Toku enforces a minimum of TLS 1.2 and rejects connections using deprecated cipher suites. HSTS (HTTP Strict Transport Security) is enabled on all public endpoints.

### Encryption at Rest

All database records containing employee PII, compensation data, wallet addresses, and payment records are encrypted using AES-256 at the storage layer. File system encryption is enabled on all volumes hosting application data. Backups are encrypted with AES-256 using separate key management from production systems.

### Key Management

Encryption keys are managed through the cloud provider's key management service with automatic key rotation. Application-level secrets including API credentials and integration tokens are stored in encrypted secret management infrastructure. Secrets are never committed to source code, logged in application logs, or exposed in error messages.

All API credentials for client integrations are stored encrypted and are rotated on a defined schedule or immediately upon any suspected compromise.

### Hashing

Personal API tokens are hashed with SHA-256 before storage. Password reset tokens are generated using cryptographically secure random number generation (crypto.randomBytes), not pseudorandom functions.

## Data We Collect

Toku collects only the data required for payroll processing and employment administration. The table below covers every category of data Toku stores.

| Data Category | Specific Fields | Source System | Purpose |
| --- | --- | --- | --- |
| Employee Identity | First name, last name | HRIS | Match payroll records to custody transactions; display in admin dashboard |
| Employee Contact | Email address | HRIS | Platform login, notifications, pay stub delivery |
| Employee Address | Street address, city, state/province, postal code, country | HRIS | Tax jurisdiction determination, regulatory compliance |
| Compensation | Base salary, compensation currency | HRIS | Payment calculations, deduction validation |
| Payroll Cycle Data | Pay period dates, gross pay, net pay, itemized deductions, pay frequency | Payroll Platform | Calculate settlement amounts, reconciliation |
| Wallet Addresses | Blockchain wallet address(es), network type | Custody Platform | Route approved payments to verified employee wallets |
| Payment Records | Transaction hash, settlement amount, asset type, timestamp, status | Custody Platform | Payment confirmation, reconciliation, audit trail |
| Authentication Data | Hashed password, MFA seed (encrypted), session tokens | Toku Platform | Secure platform access |
| Audit Logs | Login timestamps, IP addresses, actions performed, API calls | Toku Platform | Security monitoring, compliance auditing |

## Data Flow Architecture

### Inbound Data (HRIS and Payroll to Toku)

Data syncs from HRIS and payroll platforms to Toku over encrypted API connections using OAuth 2.0 authentication. Each API credential is scoped to read-only access with least-privilege permissions. Syncs run on a cadence aligned to each client's pay cycle. No write-back occurs to the HRIS or payroll platform.

### Outbound Data (Toku to Custody Platform)

Toku submits transaction instructions through authenticated API calls. Transaction instructions include the recipient wallet address, amount, and an internal reference ID. The client's custody platform requires the client's own approval before any funds move. Toku's API credential cannot unilaterally execute transactions.

## Data Retention

Data is retained for the duration of service plus a post-termination period per Toku's data retention policy. Payroll and payment records are retained in alignment with applicable tax authority requirements. Audit logs are retained for a minimum of 90 days in active storage and 1 year in archives, with critical security logs retained for 7 years.

Clients may request deletion of their organization's data in accordance with applicable data protection regulations (GDPR, CCPA/CPRA). Deletion requests are confirmed in writing and processed per Toku's data retention policy.

## Data in Non-Production Environments

Toku implements strict controls to keep production data out of non-production environments. Automated data masking replaces confidential fields. PII is scrubbed before non-production use. Development, test, and staging environments have production-equivalent security. Network isolation prevents direct connectivity to production databases.

## AI and Data Processing

Toku does not process PII or proprietary customer data through AI systems. Internal AI use is limited to non-customer-data workflows, and access to those workflows is governed by Toku security policies."
"article","API & Integration Security","api-and-integration-security","Data Security","/security-center/data-security/api-and-integration-security","Encryption, integration security, data minimization, and custody-specific safeguards for sensitive payroll and digital asset workflows.","Classification: External / Client-Facing | Contact: security@toku.com","## Integration Security Boundary

Toku treats external integrations as controlled security boundaries. Each connection is authenticated, scoped, encrypted in transit, monitored, and revocable by the client.

- Inbound data connections use least-privilege access to retrieve only the data required for authorized workflows.

- Outbound custody-related connections are limited to transaction proposal workflows and cannot unilaterally move funds.

- Integration activity is logged and monitored for failures, timeouts, and anomalous behavior.

Toku does not take custody of funds, does not hold private keys, and does not have signing authority over client wallets.

## API Authentication

All API integrations use OAuth 2.0 authentication with scoped credentials. Each integration credential is provisioned with the minimum permissions required for its function:

- HRIS integrations use read-only API credentials scoped to employee identity and compensation data. No write-back occurs to the HRIS platform.

- Payroll integrations use read-only credentials scoped to payroll cycle data.

- Custody integrations use credentials that can propose transactions but cannot unilaterally execute them. Client approval through the custody provider's policy engine is always required.

## API Credential Management

All API credentials for client integrations are stored encrypted in Toku's secret management infrastructure. Credentials are rotated on a defined schedule and are rotated immediately upon any suspected compromise.

Clients control the provisioning and revocation of API access to their own systems. If a client revokes API access, data synchronization stops immediately. Toku cannot access client systems without client-issued credentials.

## IP Restrictions for Custody Integrations

For custody platform integrations where network restrictions are available, Toku implements IP whitelisting to restrict API access to known Toku infrastructure addresses only. Even if API credentials were compromised, they could not be used from unauthorized network locations.

Network restrictions are reviewed as part of custody integration security setup.

## Data Flow Security

### Inbound (HRIS/Payroll to Toku)

Data syncs from HRIS and payroll platforms over encrypted API connections (TLS 1.3). Syncs run on a scheduled cadence aligned to each client's pay cycle. All inbound data is validated and logged.

### Outbound (Toku to Custody Platform)

Toku submits transaction instructions through authenticated API calls. Transaction instructions include the recipient wallet address, amount, and an internal reference ID. The client's custody platform requires the client's own approval before any funds move.

## Client Control Over Integrations

Clients maintain full control over their integrations with Toku:

- Provisioning: Clients issue API credentials to Toku with their chosen permission scope.

- Revocation: Clients can revoke API access at any time, immediately stopping data flow.

- Monitoring: Clients can monitor API activity through their own system logs.

- Employee enrollment: Clients determine which employees are enrolled. Toku does not add employees without client authorization.

- Transaction approval: All payment disbursements require client approval through their custody provider's policy engine.

## Integration Monitoring

All integration API calls are monitored with automated alerting on failures, timeouts, or anomalous behavior. Integration health is tracked continuously, and the engineering team is alerted to degradation."
